project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,slack_id,title,slug,created_at,updated_at,active,commit_events,push_events,issues_events,alert_events,confidential_issues_events,merge_requests_events,tag_push_events,deployment_events,note_events,confidential_note_events,pipeline_events,wiki_page_events,job_events,comment_on_event_enabled,vulnerability_events
431,aws-infra-elasticsearch,hastobe/wizards/terraform/aws-infra-elasticsearch,https://gitlab.intern.has-to-be.com/hastobe/wizards/terraform/aws-infra-elasticsearch,2024-01-12T10:46:52.637+01:00,group,hastobe/wizards/terraform,FALSE,private,1011,Jira,jira,2023-12-20T16:11:20.175+01:00,2023-12-20T16:11:20.175+01:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
431,aws-infra-elasticsearch,hastobe/wizards/terraform/aws-infra-elasticsearch,https://gitlab.intern.has-to-be.com/hastobe/wizards/terraform/aws-infra-elasticsearch,2024-01-12T10:46:52.637+01:00,group,hastobe/wizards/terraform,FALSE,private,1012,Slack notifications,slack,2023-12-20T16:11:20.195+01:00,2023-12-20T16:11:20.195+01:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
430,redis-sorted-set-investigation,chargepoint/asgardians/redis-sorted-set-investigation,https://gitlab.intern.has-to-be.com/chargepoint/asgardians/redis-sorted-set-investigation,2024-01-02T11:49:24.640+01:00,group,chargepoint/asgardians,FALSE,internal,1009,Jira,jira,2023-12-13T17:03:43.787+01:00,2023-12-13T17:03:43.787+01:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
430,redis-sorted-set-investigation,chargepoint/asgardians/redis-sorted-set-investigation,https://gitlab.intern.has-to-be.com/chargepoint/asgardians/redis-sorted-set-investigation,2024-01-02T11:49:24.640+01:00,group,chargepoint/asgardians,FALSE,internal,1010,Slack notifications,slack,2023-12-13T17:03:43.805+01:00,2023-12-13T17:03:43.805+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
428,graphql-insomnia-backup,michael.hinterhofer/graphql-insomnia-backup,https://gitlab.intern.has-to-be.com/michael.hinterhofer/graphql-insomnia-backup,2023-10-12T11:06:40.319+02:00,user,michael.hinterhofer,FALSE,internal,1006,Slack notifications,slack,2023-10-12T11:06:40.512+02:00,2023-10-12T11:06:40.512+02:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
427,aws-infra-netskope,hastobe/wizards/terraform/aws-infra-netskope,https://gitlab.intern.has-to-be.com/hastobe/wizards/terraform/aws-infra-netskope,2023-10-19T03:00:36.289+02:00,group,hastobe/wizards/terraform,FALSE,private,1004,Jira,jira,2023-10-04T13:14:24.681+02:00,2023-10-04T13:14:24.681+02:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
427,aws-infra-netskope,hastobe/wizards/terraform/aws-infra-netskope,https://gitlab.intern.has-to-be.com/hastobe/wizards/terraform/aws-infra-netskope,2023-10-19T03:00:36.289+02:00,group,hastobe/wizards/terraform,FALSE,private,1005,Slack notifications,slack,2023-10-04T13:14:24.703+02:00,2023-10-04T13:14:24.703+02:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
426,be-metered-archive,chargepoint/pegasus/be-metered-archive,https://gitlab.intern.has-to-be.com/chargepoint/pegasus/be-metered-archive,2023-08-26T03:52:50.618+02:00,group,chargepoint/pegasus,FALSE,internal,1002,Jira,jira,2023-08-25T11:51:39.179+02:00,2023-08-25T11:51:39.179+02:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
426,be-metered-archive,chargepoint/pegasus/be-metered-archive,https://gitlab.intern.has-to-be.com/chargepoint/pegasus/be-metered-archive,2023-08-26T03:52:50.618+02:00,group,chargepoint/pegasus,FALSE,internal,1003,Slack notifications,slack,2023-08-25T11:51:39.200+02:00,2023-08-25T11:51:39.200+02:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
425,stream-sample-status,chargepoint/pegasus/stream-sample-status,https://gitlab.intern.has-to-be.com/chargepoint/pegasus/stream-sample-status,2023-07-10T09:19:21.244+02:00,group,chargepoint/pegasus,FALSE,internal,1000,Jira,jira,2023-07-07T14:11:29.394+02:00,2023-07-07T14:11:29.394+02:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
425,stream-sample-status,chargepoint/pegasus/stream-sample-status,https://gitlab.intern.has-to-be.com/chargepoint/pegasus/stream-sample-status,2023-07-10T09:19:21.244+02:00,group,chargepoint/pegasus,FALSE,internal,1001,Slack notifications,slack,2023-07-07T14:11:29.412+02:00,2023-07-07T14:11:29.412+02:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
