project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,hook_id,hook_url,push_events,push_events_branch_filter,issues_events,confidential_issues_events,merge_requests_events,tag_push_events,note_events,confidential_note_events,job_events,pipeline_events,wiki_page_events,deployment_events,releases_events,enable_ssl_verification,repository_update_events,alert_status,disabled_until,url_variables,created_at
1538,fault-escalation-service,pma/chargepoint-legacy/fault-escalation-service,https://git.viriciti.com/pma/chargepoint-legacy/fault-escalation-service,2023-02-13T11:32:41.404Z,group,pma/chargepoint-legacy,False,private,185,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-17T04:13:32.021Z
1537,proactive-monitoring,pma/chargepoint-legacy/proactive-monitoring,https://git.viriciti.com/pma/chargepoint-legacy/proactive-monitoring,2023-02-13T11:31:53.420Z,group,pma/chargepoint-legacy,False,private,152,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-16T23:13:32.504Z
1536,pma-sc-ticket-service-golang,pma/chargepoint-legacy/pma-sc-ticket-service-golang,https://git.viriciti.com/pma/chargepoint-legacy/pma-sc-ticket-service-golang,2023-02-13T11:31:07.132Z,group,pma/chargepoint-legacy,False,private,159,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-17T00:38:32.236Z
1535,pma-sc-ticket-service,pma/chargepoint-legacy/pma-sc-ticket-service,https://git.viriciti.com/pma/chargepoint-legacy/pma-sc-ticket-service,2023-02-13T11:31:05.004Z,group,pma/chargepoint-legacy,False,private,158,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-17T00:38:32.190Z
1533,station-api,pma/chargepoint-legacy/station-api,https://git.viriciti.com/pma/chargepoint-legacy/station-api,2023-03-17T13:23:12.903Z,group,pma/chargepoint-legacy,False,private,236,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-18T10:58:32.149Z
1532,nos-docs,pma/chargepoint-legacy/nos-docs,https://git.viriciti.com/pma/chargepoint-legacy/nos-docs,2023-02-01T13:33:54.345Z,group,pma/chargepoint-legacy,False,private,104,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-16T15:38:31.956Z
1531,nos,pma/chargepoint-legacy/nos,https://git.viriciti.com/pma/chargepoint-legacy/nos,2023-02-01T21:15:09.357Z,group,pma/chargepoint-legacy,False,private,102,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-16T15:38:31.887Z
1530,station-fault-definitions,pma/chargepoint-legacy/station-fault-definitions,https://git.viriciti.com/pma/chargepoint-legacy/station-fault-definitions,2023-02-01T13:33:39.659Z,group,pma/chargepoint-legacy,False,private,150,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-16T23:13:31.777Z
1529,emb-telemetry,pma/chargepoint-legacy/emb-telemetry,https://git.viriciti.com/pma/chargepoint-legacy/emb-telemetry,2023-02-01T12:49:38.001Z,group,pma/chargepoint-legacy,False,private,160,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-17T00:38:32.249Z
1527,pma-kafkastreams-poc,pma/pma-kafkastreams-poc,https://git.viriciti.com/pma/pma-kafkastreams-poc,2023-02-16T14:14:55.515Z,group,pma,False,private,157,https://app.apiiro.com/api/external/webhooks/gitlabserver,True,,False,False,True,False,False,,False,False,False,False,False,True,False,executable,,,2023-02-17T00:38:32.189Z
