project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,slack_id,title,slug,created_at,updated_at,active,commit_events,push_events,issues_events,alert_events,confidential_issues_events,merge_requests_events,tag_push_events,deployment_events,note_events,confidential_note_events,pipeline_events,wiki_page_events,job_events,comment_on_event_enabled,vulnerability_events
1589,station-gateway-deploy-mirror,viriciti/cs/station-gateway-deploy-mirror,https://git.viriciti.com/viriciti/cs/station-gateway-deploy-mirror,2024-02-23T11:49:33.838Z,group,viriciti/cs,FALSE,internal,4694,Slack notifications,slack,2024-02-01T09:59:02.337Z,2024-02-01T09:59:02.337Z,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1388,jetstream,tammethijs/jetstream,https://git.viriciti.com/tammethijs/jetstream,2021-11-15T13:36:35.584Z,user,tammethijs,FALSE,internal,4693,Slack notifications,slack,2021-11-15T12:31:57.582Z,2021-11-15T12:31:57.582Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1387,unit-converter,viriciti/modules/unit-converter,https://git.viriciti.com/viriciti/modules/unit-converter,2023-12-07T10:01:21.012Z,group,viriciti/modules,FALSE,private,4692,Slack notifications,slack,2021-11-12T13:08:22.774Z,2021-11-12T13:08:22.774Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1386,sim-unlock,livetech/apps/sim-unlock,https://git.viriciti.com/livetech/apps/sim-unlock,2022-01-12T10:25:25.245Z,group,livetech/apps,FALSE,private,4691,Slack notifications,slack,2021-11-11T13:05:52.386Z,2021-11-11T13:05:52.386Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1385,incidents,viriciti/cs/front-end/incidents,https://git.viriciti.com/viriciti/cs/front-end/incidents,2023-03-28T11:14:00.303Z,group,viriciti/cs/front-end,FALSE,private,4690,Slack notifications,slack,2021-11-11T11:14:51.134Z,2021-11-11T11:14:51.134Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1383,conduent-network,viriciti/datahub/customer/conduent-network,https://git.viriciti.com/viriciti/datahub/customer/conduent-network,2021-11-10T08:41:48.635Z,group,viriciti/datahub/customer,FALSE,private,4688,Slack notifications,slack,2021-11-09T09:05:16.421Z,2021-11-09T09:05:16.421Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1382,aws-mfa,viriciti/tools/aws-mfa,https://git.viriciti.com/viriciti/tools/aws-mfa,2022-11-28T10:49:32.459Z,group,viriciti/tools,FALSE,private,4687,Slack notifications,slack,2021-11-05T15:39:45.319Z,2021-11-05T15:39:45.319Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1378,minio-testing,viriciti/minio-testing,https://git.viriciti.com/viriciti/minio-testing,2022-03-16T13:08:27.129Z,group,viriciti,FALSE,private,4683,Slack notifications,slack,2021-11-02T10:40:50.193Z,2021-11-02T10:40:50.193Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1377,http-to-can,viriciti/datahub/http-to-can,https://git.viriciti.com/viriciti/datahub/http-to-can,2022-01-12T09:24:14.977Z,group,viriciti/datahub,FALSE,private,4682,Slack notifications,slack,2021-10-14T10:30:12.286Z,2021-10-14T10:30:12.286Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1376,twaice-api,viriciti/twaice/twaice-api,https://git.viriciti.com/viriciti/twaice/twaice-api,2021-10-18T10:25:32.694Z,group,viriciti/twaice,FALSE,private,4681,Slack notifications,slack,2021-10-11T13:27:53.024Z,2021-10-11T13:27:53.024Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
